ID;start;end;code;team;action;half;pos_x;pos_y
1082;1873.55;1902.55;6. Davinson Sánchez (1647732) - Şutle Biten Kontra Ataklarda Yer Alma;Galatasaray (29205);Şutle Biten Kontra Ataklarda Yer Alma;1;13.55;22.68
1083;1873.55;1902.55;7. Roland Sallai (1282353) - Şutle Biten Kontra Ataklarda Yer Alma;Galatasaray (29205);Şutle Biten Kontra Ataklarda Yer Alma;1;13.55;22.68
1084;1873.55;1902.55;11. Yunus Akgün (27735) - Şutle Biten Kontra Ataklarda Yer Alma;Galatasaray (29205);Şutle Biten Kontra Ataklarda Yer Alma;1;13.55;22.68
1085;1873.55;1902.55;34. Lucas Torreira (1469956) - Şutle Biten Kontra Ataklarda Yer Alma;Galatasaray (29205);Şutle Biten Kontra Ataklarda Yer Alma;1;13.55;22.68
1086;1873.55;1902.55;45. Victor Osimhen (1093704) - Şutle Biten Kontra Ataklarda Yer Alma;Galatasaray (29205);Şutle Biten Kontra Ataklarda Yer Alma;1;13.55;22.68
1087;1873.55;1902.55;53. Barış Alper Yılmaz (1589859) - Şutle Biten Kontra Ataklarda Yer Alma;Galatasaray (29205);Şutle Biten Kontra Ataklarda Yer Alma;1;13.55;22.68
1088;1877.55;1889.55;53. Barış Alper Yılmaz (1589859) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;14.86;11.24
1089;1878.55;1890.55;7. Roland Sallai (1282353) - Başarılı İleri Paslar;Galatasaray (29205);Başarılı İleri Paslar;1;7.57;4.93
1090;1878.55;1890.55;7. Roland Sallai (1282353) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;7.57;4.93
1091;1878.55;1890.55;7. Roland Sallai (1282353) - Uzun paslar;Galatasaray (29205);Uzun paslar;1;7.57;4.93
1092;1878.55;1890.55;7. Roland Sallai (1282353) - İsabetli İlerletici Paslar;Galatasaray (29205);İsabetli İlerletici Paslar;1;7.57;4.93
1093;1882.55;1894.55;3. Samet Akaydin (26800) - Başarılı hava topu mücadeleleri;Caykur Rizespor (62850);Başarılı hava topu mücadeleleri;1;48.8;48.48
1094;1882.55;1894.55;3. Samet Akaydin (26800) - Başarılı İkili Mücadeleler;Caykur Rizespor (62850);Başarılı İkili Mücadeleler;1;48.8;48.48
1095;1882.55;1894.55;45. Victor Osimhen (1093704) - Başarısız İkili Mücadeleler;Galatasaray (29205);Başarısız İkili Mücadeleler;1;48.8;48.48
1096;1882.55;1894.55;3. Samet Akaydin (26800) - Başarısız İleri Paslar;Caykur Rizespor (62850);Başarısız İleri Paslar;1;48.8;48.48
1097;1882.55;1894.55;45. Victor Osimhen (1093704) - Kaybedilen hava topu mücadeleleri;Galatasaray (29205);Kaybedilen hava topu mücadeleleri;1;48.8;48.48
